央视频道,#genre#
CCTV-1综合,sop://api/duannimabibuyaobilian.php?id=1
CCTV-1综合,http://106.12.152.67/yxds.php?id=CCTV1HD
CCTV-2财经,http://39.135.34.150:8080/000000001000/1000000001000012442/1.m3u8?
CCTV-2财经,http://58.216.102.246/liveplay-kk.rtxapp.com/live/program/live/cctv2/1300000/mnf.m3u8
CCTV-2财经,http://58.216.102.246/liveplay-kk.rtxapp.com/live/program/live/cctv2/1300000/mnf.m3u8
CCTV-2财经,http://106.12.152.67/yxds.php?id=CCTV2HD
CCTV-3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?
CCTV-3综艺,http://106.12.152.67/yxds.php?id=CCTV3HD
CCTV-4中文国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?
CCTV-4中文国际,http://106.12.152.67/yxds.php?id=CCTV4HD
CCTV-5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?
CCTV-5体育,http://58.216.102.246/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV-5体育,http://106.12.152.67/yxds.php?id=CCTV5HD
CCTV-5+体育赛事,http://39.135.34.150:8080/000000001000/1000000001000020505/1.m3u8?
CCTV-5+体育赛事,http://58.216.102.246/liveplay-kk.rtxapp.com/live/program/live/cctv5phd/2300000/mnf.m3u8
CCTV-6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?
CCTV-6电影,http://106.12.152.67/yxds.php?id=CCTV6HD
CCTV-7军事农业,http://39.135.34.150:8080/000000001000/7050628689018054317/1.m3u8?
CCTV-7军事农业,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-8电视剧,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?
CCTV-8电视剧,http://106.12.152.67/yxds.php?id=CCTV8HD
CCTV-9纪录,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?
CCTV-9纪录,http://106.12.152.67/yxds.php?id=CCTV9HD
CCTV-10科教,http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?
CCTV-10科教,http://106.12.152.67/yxds.php?id=CCTV10HD
CCTV-11戏曲,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?
CCTV-11戏曲,http://106.12.152.67/yxds.php?id=CCTV11HD
CCTV-12社会与法,http://39.135.34.150:8080/000000001000/5325631075193490169/1.m3u8?
CCTV-12社会与法,http://106.12.152.67/yxds.php?id=CCTV12HD
CCTV-13新闻,http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?
CCTV-13新闻,http://stream4.jlntv.cn/cctv13/sd/live.m3u8
CCTV-14少儿,http://39.135.34.150:8080/000000001000/8203666801302077036/1.m3u8?
CCTV-14少儿,http://106.12.152.67/yxds.php?id=CCTV14HD
CCTV-15音乐,http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?
CCTV-15音乐,http://106.12.152.67/yxds.php?id=CCTV15HD
CCTV-17农业农村,http://39.135.34.150:8080/000000001000/1000000005000056836/1.m3u8?
CCTV-17农业农村,http://106.12.152.67/yxds.php?id=CCTV7HD
CCTV-4K超高清,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CHC-高清电影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC-高清电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chchd
CHC-动作电影,http://125.210.152.18:9090/live/DZDYHD.m3u8
CHC-动作电影,rtmp://ivi.bupt.edu.cn:1935/livetv/chcatv
CHC-家庭影院,http://125.210.152.18:9090/live/JTYYHD.m3u8
CHC-家庭影院,rtmp://ivi.bupt.edu.cn:1935/livetv/chctv
CETV-1中国教育台,http://111.40.205.87/PLTV/88888888/224/3221225652/index.m3u8
CETV-1中国教育台,http://111.40.205.87/PLTV/88888888/224/3221225652/index.m3u8
CETV-1中国教育台,http://223.110.241.204:6610/gitv/live1/G_CETV-1/G_CETV-1/
