台湾频道1,#genre#
猪哥亮歌厅秀,http://45.11.92.153/lbq/twtv88.php?id=75
台视,http://45.11.92.153/lbq/twtv88.php?id=27
台视,http://45.11.92.153/lbq/twtv88.php?id=326
台视新闻,http://45.11.92.153/lbq/twtv88.php?id=1
台视综合,http://45.11.92.153/lbq/twtv88.php?id=309
台视财经,http://45.11.92.153/lbq/twtv88.php?id=300
民视,http://45.11.92.153/lbq/twtv88.php?id=26
民视,http://45.11.92.153/lbq/twtv88.php?id=336
民视新闻台,http://45.11.92.153/lbq/twtv88.php?id=13
民视综艺,http://45.11.92.153/lbq/twtv88.php?id=98
民视第一台,http://45.11.92.153/lbq/twtv88.php?id=34
民视台湾台,http://45.11.92.153/lbq/twtv88.php?id=36
民视影剧,http://45.11.92.153/lbq/twtv88.php?id=1023
民视旅游,http://45.11.92.153/lbq/twtv88.php?id=78
华视,http://45.11.92.153/lbq/twtv88.php?id=32
华视,http://45.11.92.153/lbq/twtv88.php?id=327
华视资讯,http://45.11.92.153/lbq/twtv88.php?id=6
华纳电影,http://45.11.92.153/lbq/twtv88.php?id=83
华艺综合台,http://45.11.92.153/lbq/twtv88.php?id=310
中视,http://45.11.92.153/lbq/twtv88.php?id=333
中视经典,http://45.11.92.153/lbq/twtv88.php?id=185
中视新闻,http://45.11.92.153/lbq/twtv88.php?id=7
中视新闻,http://45.11.92.153/lbq/twtv88.php?id=28
中视菁采,http://45.11.92.153/lbq/twtv88.php?id=74
中天新闻,http://45.11.92.153/lbq/twtv88.php?id=3
中天综合,http://45.11.92.153/lbq/twtv88.php?id=54
中天娱乐,http://45.11.92.153/lbq/twtv88.php?id=324
中天综合,http://45.11.92.153/lbq/twtv88.php?id=325
中天亚洲台,http://45.11.92.153/lbq/twtv88.php?id=322
公视,http://45.11.92.153/lbq/twtv88.php?id=86
公视,http://45.11.92.153/lbq/twtv88.php?id=59
公视,http://45.11.92.153/lbq/twtv88.php?id=361
公视戏剧,http://45.11.92.153/lbq/twtv88.php?id=69
八大精彩台,http://45.11.92.153/lbq/twtv88.php?id=1024
八大综合台,http://45.11.92.153/lbq/twtv88.php?id=90
八大戏剧台,http://45.11.92.153/lbq/twtv88.php?id=81
东森幼幼,http://45.11.92.153/lbq/twtv88.php?id=371
东森综合台,http://45.11.92.153/lbq/twtv88.php?id=372
龙祥时代,http://45.11.92.153/lbq/twtv88.php?id=373
东森新闻,http://45.11.92.153/lbq/twtv88.php?id=9
东森新闻,http://45.11.92.153/lbq/twtv88.php?id=12
东森超视,http://45.11.92.153/lbq/twtv88.php?id=80
东森戏剧,http://45.11.92.153/lbq/twtv88.php?id=321
东森电影,http://45.11.92.153/lbq/twtv88.php?id=350
东森洋片,http://45.11.92.153/lbq/twtv88.php?id=1128
东森购物1,http://45.11.92.153/lbq/twtv88.php?id=1155
东森购物2,http://45.11.92.153/lbq/twtv88.php?id=1156
龙华经典,http://45.11.92.153/lbq/twtv88.php?id=364
龙华戏剧,http://45.11.92.153/lbq/twtv88.php?id=365
龙华动画,http://45.11.92.153/lbq/twtv88.php?id=366
龙华电影,http://45.11.92.153/lbq/twtv88.php?id=311
龙华经典,http://45.11.92.153/lbq/twtv88.php?id=100
龙华偶像,http://45.11.92.153/lbq/twtv88.php?id=347
龙华日韩,http://45.11.92.153/lbq/twtv88.php?id=382
纬来日本,http://45.11.92.153/lbq/twtv88.php?id=46
