民视新闻,sop://59.120.43.185:3918/1355
民视台湾台,sop://59.120.43.185:3918/1364
非凡新闻,sop://59.120.43.185:3918/1365
非凡商业,sop://59.120.43.185:3918/1366
BBC,sop://59.120.43.185:3918/1569
SBN财经台,sop://59.120.43.185:3918/1570
SBN全球财经,sop://59.120.43.185:3918
CN卡通,sop://59.120.43.185:3918/1867
八大综合,sop://59.120.43.185:3918/5274
民视综艺,sop://59.120.43.185:3918/5275
猪哥亮综艺,sop://59.120.43.185:3918/5276
民视旅游,sop://59.120.43.185:3918/5277
民视戏剧,sop://59.120.43.185:3918/5278
东森亚洲新闻,sop://59.120.43.185:3918/5499
东森亚洲,sop://59.120.43.185:3918/5500
哈电影台,sop://59.120.43.185:3918/5502
中华财经台,sop://59.120.43.185:3918/5503
爱放动漫,sop://59.120.43.185:3918/5568
东森新闻HD,sop://59.120.43.185:3918/5817
旅游HD,sop://59.120.43.185:3918/5821
台视HD,sop://59.120.43.185:3918/5822
台视财经,sop://59.120.43.185:3918/5823
中天新闻,sop://59.120.43.185:3918/5824
中天综合,sop://59.120.43.185:3918/5825
中视HD,sop://59.120.43.185:3918/5829
MV,sop://59.120.43.185:3918/5831
momo亲子台,sop://59.120.43.185:3918/5832
TVBS,sop://59.120.43.185:3918/5833
TVBS新闻台-HD,sop://59.120.43.185:3918/5834
华视综合娱乐,sop://59.120.43.185:3918/5835
华视HD,sop://59.120.43.185:3918/5836
中视,sop://59.120.43.185:3918/5837
中视新闻,sop://59.120.43.185:3918/5838
MV,sop://59.120.43.185:3918/5839
MV,sop://59.120.43.185:3918/5840
MV,sop://59.120.43.185:3918/5841
半岛电视台,sop://59.120.43.185:3918/5843
国家地理频道,sop://59.120.43.185:3918/5844
华视新闻资讯,sop://59.120.43.185:3918/5845
行政院,sop://59.120.43.185:3918/5848
台视新闻台,sop://59.120.43.185:3918/5849
靖天电视台,sop://59.120.43.185:3918/5850
靖洋卡通台,sop://59.120.43.185:3918/5851
靖天日本台,sop://59.120.43.185:3918/5852
靖天卡通台,sop://59.120.43.185:3918/5853
靖天娱乐台,sop://59.120.43.185:3918/5854
靖天综合台,sop://59.120.43.185:3918/5855
靖天戏剧台,sop://59.120.43.185:3918/5857
TiTV,sop://59.120.43.185:3918/5859
lamigoTV,sop://59.120.43.185:3918/5867
东森财经新闻,sop://59.120.43.185:3918/5879
台北新闻,sop://59.120.43.185:3918/5902
台湾好,sop://59.120.43.185:3918/5904
台视综合,sop://59.120.43.185:3918/5907
旅游HD,sop://59.120.43.185:3918/5908
MV,sop://59.120.43.185:3918/5912
奥视OursHD,sop://59.120.43.185:3918/5569
日本,sop://59.120.43.185:3918/5570
潘朵拉玩美,sop://59.120.43.185:3918/5818
潘朵拉粉红,sop://59.120.43.185:3918/5819
日本熟女,sop://59.120.43.185:3918/5820
奥视,sop://59.120.43.185:3918/5828
卡拉ok1,sop://59.120.43.185:3918/5839
卡拉ok2,sop://59.120.43.185:3918/5840
尤物杂志,sop://59.120.43.185:3918/5841
潘多拉天使,sop://59.120.43.185:3918/5905
潘朵拉Jugar,sop://59.120.43.185:3918/5906
E模特,sop://59.120.43.185:3918/5908
国民党,sop://59.120.43.185:3918/5909
民进党,sop://59.120.43.185:3918/5910
亲民党,sop://59.120.43.185:3918/5911
------------
天映频道,sop://124.232.150.188:3920/5170
CCTV13,sop://124.232.150.188:3920/5180
ATV亚洲台,sop://124.232.150.188:3920/5182
华视HD,sop://124.232.150.188:3920/5183
广东南方卫视,sop://124.232.150.188:3920/5184
广东珠江台,sop://124.232.150.188:3920/5185
凤凰资讯HD,sop://124.232.150.188:3920/5186
凤凰香港,sop://124.232.150.188:3920/5187
凤凰中文HD,sop://124.232.150.188:3920/5188
ATV本港台,sop://124.232.150.188:3920/5189
CCTV1,sop://124.232.150.188:3920/5190
CCTV4,sop://124.232.150.188:3920/5191
湖南卫视,sop://124.232.150.188:3920/5192
北京卫视,sop://124.232.150.188:3920/5193
浙江卫视,sop://124.232.150.188:3920/5194
东方卫视,sop://124.232.150.188:3920/5195
