CR,#genre#
BBC,vjms://61.216.1.24:8500:3502/live/cid=418
NHK G,vjms://61.216.1.24:8500:3502/live/cid=309
CNN,vjms://61.216.1.24:8500:3502/live/cid=428
CNBC(CN),vjms://61.216.1.24:8500:3502/live/cid=98
HBO,vjms://61.216.1.24:8500:3502/live/cid=261
松视1台,vjms://61.216.1.24:8500:3502/live/cid=262
松视2台,vjms://61.216.1.24:8500:3502/live/cid=267
松视3台,vjms://61.216.1.24:8500:3502/live/cid=268
国家地理野生,vjms://61.216.1.24:8500:3502/live/cid=263
博斯高球,vjms://61.216.1.24:8500:3502/live/cid=265
ELTA体育1台,vjms://61.216.1.24:8500:3502/live/cid=266

民视HD,vjms://61.216.1.24:8500:3502/live/cid=450
公视,vjms://61.216.1.24:8500:3502/live/cid=236
年代MUCH,vjms://61.216.1.24:8500:3502/live/cid=439
年代新闻,vjms://61.216.1.24:8500:3502/live/cid=455
东森新闻,vjms://61.216.1.24:8500:3502/live/cid=340
中天新闻,vjms://61.216.1.24:8500:3502/live/cid=407
非凡新闻,vjms://61.216.1.24:8500:3502/live/cid=443
纬来体育,vjms://61.216.1.24:8500:3502/live/cid=202
纬来戏剧,vjms://61.216.1.24:8500:3502/live/cid=137
八大第一,vjms://61.216.1.24:8500:3502/live/cid=441
三立新闻,vjms://61.216.1.24:8500:3502/live/cid=352
三立都会,vjms://61.216.1.24:8500:3502/live/cid=226
博斯高球,vjms://61.216.1.24:8500:3502/live/cid=265
迪斯尼卡通,vjms://61.216.1.24:8500:3502/live/cid=361
HBOHD,vjms://61.216.1.24:8500:3502/live/cid=261
HBO原创,vjms://61.216.1.24:8500:3502/live/cid=436
HBO强档,vjms://61.216.1.24:8500:3502/live/cid=238
HBO温馨,vjms://61.216.1.24:8500:3502/live/cid=181
TVBS HD,vjms://61.216.1.24:8500:3502/live/cid=349
TVBS新闻台,vjms://61.216.1.24:8500:3502/live/cid=348
ELTA体育HD,vjms://61.216.1.24:8500:3502/live/cid=266
TLC旅游生活,vjms://61.216.1.24:8500:3502/live/cid=103
法国国际五台,vjms://61.216.1.24:8500:3502/live/cid=396
东森财经新闻,vjms://61.216.1.24:8500:3502/live/cid=456
国家地理HD,vjms://61.216.1.24:8500:3502/live/cid=115
国家地理野生,vjms://61.216.1.24:8500:3502/live/cid=263
AXN,vjms://61.216.1.24:8500:3502/live/cid=2
BBC,vjms://61.216.1.24:8500:3502/live/cid=418
CNN,vjms://61.216.1.24:8500:3502/live/cid=428
CNBC,vjms://61.216.1.24:8500:3502/live/cid=98
