国内,#genre#
CCTV-1,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV-7,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-8,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-9,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-17,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV-4K,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
CHC高清电影,http://47.240.60.73/xaors/mlxy.php?channel=22719d4478979abbb10b41fa5435e754
CHC高清電影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC家庭影院,http://47.240.60.73/xaors/mlxy.php?channel=a55031d6dc37de6cd3e72ce9a2046d46
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
CHC动作电影,http://47.240.60.73/xaors/mlxy.php?channel=4524caa72ac564cc6ce9631b7289b9a5
CHC動作電影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
中国电影,http://47.240.60.73/xaors/mlxy.php?channel=c69c9de9945ce16fb7fa7313cfeec637
珠江电影,http://47.240.60.73/xaors/mlxy.php?channel=79f8f7f358fd28ee3862367bc9ea1fd2
北京卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
湖北卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
湖南卫视,http://47.240.60.73/xaors/mlxy.php?channel=b299daa73ba9f1594d39aca37ab7cb0a
东方卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
江苏卫视,http://47.240.60.73/xaors/mlxy.php?channel=f9f9a2de6c9dc0dee8de26052973984d
江苏卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://47.240.60.73/xaors/mlxy.php?channel=f57b1f88b7e9decbcd4e7246dfb42eda
浙江卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
安徽卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
深圳卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广东卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
黑龙江卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
重庆卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
辽宁卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
四川卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
广西卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
东南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
贵州卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
河北卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
河南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
江西卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
山东卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
海南卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
宁夏卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000285103.m3u8
甘肃卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294603.m3u8
吉林卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000284703.m3u8
青海卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294703.m3u8
陕西卫视,http://221.230.141.252/live-cnc-cdn.ysp.cctv.cn/ysp/2000294403.m3u8
广东体育,http://47.240.60.73/xaors/mlxy.php?channel=8539c9d13d384e0e976fa93196f844f3

港澳,#genre#
凤凰卫视,http://47.240.60.73/xaors/mlxy.php?channel=b87f678640708da14c8bbe45ef43e51f#http://213.176.62.222:8006/lbtv/live/kwzq1rse/ts6205f2/index.m3u8
凤凰资讯,http://80.245.105.48:8006/hkc/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-3.m3u8#http://47.240.60.73/xaors/mlxy.php?channel=fbded000af54f1a4ee0847712298893b#http://zhu2.crtv.zstv.top/atv_119.php?id=61ea04402fef3b5b882cbbfff520f88f
凤凰香港,http://47.240.60.73/xaors/mlxy.php?channel=44ca88e2d2844038cdb169e25ac5fbbf
香港KHS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
TVB翡翠,http://47.240.60.73/xaors/mlxy.php?channel=f9c0fc853c9dd0b6be92eacc07943460
TVB明珠,http://47.240.60.73/xaors/mlxy.php?channel=d21fc46e7be754c79ba69a4098151b0b
TVB星河,http://47.240.60.73/xaors/mlxy.php?channel=47b66f36d3fdce6ef682a8d8f5fb47b8
TVB经典,http://47.240.60.73/xaors/mlxy.php?channel=f7dd2e78b8eb4f8991d442314c00431d
TVB功夫,http://47.240.60.73/xaors/mlxy.php?channel=4c684528e903d15d1d98c429497e7e10
TVB J2,http://47.240.60.73/xaors/mlxy.php?channel=4e2a008fe0f5173222b99f03c1560d7b
RH31,http://47.240.60.73/xaors/mlxy.php?channel=7e747f53a7c2846d3d23f9a070dbbd1e
RH32,http://47.240.60.73/xaors/mlxy.php?channel=814bcfd3ba242e7f6f2d3cd4287607db
VIU tv,http://47.240.60.73/xaors/mlxy.php?channel=067582cf579161f572cdbb61e66566a7
VIU6 tv,http://47.240.60.73/xaors/mlxy.php?channel=20277db4537deab325dde76751e884f7
无线财经,http://47.240.60.73/xaors/mlxy.php?channel=2f65e491386884782472699bcc1efef7
无线新闻,http://47.240.60.73/xaors/mlxy.php?channel=c401bb84625c372236da993f643d5674
有线新闻,http://47.240.60.73/xaors/mlxy.php?channel=ede1d83bf1194048d44db9ae3d8f504b
有线电影,http://47.240.60.73/xaors/mlxy.php?channel=3cc5fb32f48f180e4e5d1968af54619b
有线体育,http://47.240.60.73/xaors/mlxy.php?channel=e3b1fdc17f115b62166b957b00c01f7f
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
澳门莲花,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8

台湾,#genre#
华视,http://47.240.60.73/xaors/mlxy.php?channel=61ea04402fef3b5b882cbbfff520f88f
公视,http://47.240.60.73/xaors/mlxy.php?channel=22135c0a31d3ab68940e6b9cc7104a51
中视经典,http://47.240.60.73/xaors/mlxy.php?channel=2b7ed237c2191c454f4d5e1ab4017d32
中视新闻,http://47.240.60.73/xaors/mlxy.php?channel=7dbb820b9ccb1180885eb2ed0c231bb8
民视,http://47.240.60.73/xaors/mlxy.php?channel=dbc824c04b4200f92e3b85cbc59f434e
民视台湾,http://47.240.60.73/xaors/mlxy.php?channel=2d60e9c2bff00c37e90006cd4935ccd7
民视新闻,http://47.240.60.73/xaors/mlxy.php?channel=8f0cfe02045f163efbf510131233ef38
台视,http://47.240.60.73/xaors/mlxy.php?channel=2ddfaf5fa08619bf48c2246c25147689
台视新闻,http://47.240.60.73/xaors/mlxy.php?channel=18393f7cd51e6291f7ca8b6af98d1744
年代新闻,http://47.240.60.73/xaors/mlxy.php?channel=6795e9568e22c046981992cb582d44d8
非凡新闻,http://47.240.60.73/xaors/mlxy.php?channel=6f055fbefdf8e2fd280146a9d2594292
寰宇新闻,http://47.240.60.73/xaors/mlxy.php?channel=fe4e088a8d8e10cc20a012c17cf1c3a6
中天综合,http://47.240.60.73/xaors/mlxy.php?channel=02f108bdfea98407fde2f64d0160b458
中天新闻,http://47.240.60.73/xaors/mlxy.php?channel=9cc23cfaa77c63bbdf5c25b427c89837
中天新闻,http://47.240.60.73/xaors/mlxy.php?channel=efbd809fffc18733f2385aee2597858a
中天娱乐,http://47.240.60.73/xaors/mlxy.php?channel=e4d8bdda673322f73ad81a85dbd729e3
中天亚洲,http://47.240.60.73/xaors/mlxy.php?channel=4f65eafd2a2417342c1b871464351e66
TVBS HD,http://47.240.60.73/xaors/mlxy.php?channel=8978865d3550043580868e20104181db
TVBS新闻,http://47.240.60.73/xaors/mlxy.php?channel=7bfd061991d40f48a4741a9e2daf1723
