常看频道,#genre#
CCTV-1高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226338/1.m3u8 
CCTV-2高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225934/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-6电影,http://www.dszbdq.cn/diao/ysp.php?tv=0203303
CCTV-7高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225863/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-9高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225865/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-10高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225868/1.m3u#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-12高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225870/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-17高清,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
北京卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0272103
湖北卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0294503
湖南卫视,http://www.dszbdq.cn/diao/ysp.php?tv=0296203
凤凰卫视中文台HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226143/1.m3u8 
凤凰卫视资讯台HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226142/1.m3u8
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
舌尖上的中国,http://aldirect.hls.huya.com/huyalive/30765679-2523417472-10837995516394995712-2847699158-10057-A-1521181527-1_1200.m3u8
李子柒的直播,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
求索纪录,http://112.17.40.145/PLTV/88888888/224/3221226610/index.m3u8
纪实,http://112.17.40.145/PLTV/88888888/224/3221226606/index.m3u8
日FIGHTING TV,vjms://58.215.133.197:8500:3502/live/cid=408
CCTV4K,http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
咪咕4K,http://112.50.243.8/PLTV/88888888/224/3221226833/1.m3u8
纯享4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8
Bestv 4K,http://117.148.187.13/PLTV/88888888/224/3221226718/index.m3u8

央视频道,#genre#
CCTV-1综合HD,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2财经,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3综艺,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4中文国际,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5体育,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+体育赛事,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6电影,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-7军事,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8电视剧,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9纪录,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10科教,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11戏曲,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12社会与法,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13新闻,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14少儿,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15音乐,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17农村农业,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV4K,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV1HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV2HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV3HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/
CCTV4HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/
CCTV5HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ/
CCTV5+HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV6HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV7HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/
CCTV8HD,http://223.110.241.150:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV9HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/1.m3u8
CCTV10HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV11HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
CCTV12HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/1.m3u8
CCTV13HD,http://www.dszbdq.cn/diao/ysp.php?tv=0204603
CCTV14HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/1.m3u8
CCTV15HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8
CCTV17HD,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV4K,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
纯享4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8
Bestv4K,http://117.148.187.13/PLTV/88888888/224/3221226718/index.m3u8
舌尖上的中国,http://aldirect.hls.huya.com/huyalive/30765679-2523417472-10837995516394995712-2847699158-10057-A-1521181527-1_1200.m3u8
李子柒的直播,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8
日FIGHTING TV,vjms://58.215.133.197:8500:3502/live/cid=408

卫视频道,#genre#
北京衛視,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
湖北衛視,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
湖南衛視,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/1.m3u8
遼寧衛視,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
浙江衛視,http://61.151.179.195/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
