风景直播,#genre#
水立方,http://mobilelive-play.ysp.cctv.cn/ysp/000/2001713003_fhd.m3u8
秘境之眼,http://mobilelive-play.ysp.cctv.cn/ysp/000/2001293703_fhd.m3u8
雷神山直播,http://mobilelive-play.ysp.cctv.cn/ysp/000/2001893301_fhd.m3u8
熊猫直播,https://mobilelive-play.ysp.cctv.cn/ysp/2001366601_hd.m3u8
上海这一刻：魔都眼,http://bililive.kksmg.com/hls/sdi80/playlist.m3u8
上海这一刻：陆家嘴,http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8
投票站外摄像头,http://220.158.149.14:9999/live/TV00000000000000000034@HHZT;LIVE
张家界天门山西线玻璃栈道,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
张家界天门山天门洞,https://gccncc.v.wscdns.com/gc/tmstmd01_1/index.m3u8
张家界天门山天空步道,https://gccncc.v.wscdns.com/gc/tms02_1/index.m3u8
张家界天门山云梦仙顶,https://gctxyc.liveplay.myqcloud.com/gc/tms04_1_md.m3u8
湖南湘西凤凰古城东关门,http://gccncc.v.wscdns.com/gc/fhgcdgm_1/index.m3u8
厦门鼓浪屿,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
广西玉林大容山莲花山顶,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
平山湖大峡谷九龙汇海(回放),https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8
平山湖大峡谷峡谷石林(回放),https://gccncc.v.wscdns.com/gc/pshdxg02_1/index.m3u8
桂林象山公园(回放),https://gccncc.v.wscdns.com/gc/glxs01_1/index.m3u8
六盘山红军长征景区(回放),https://gccncc.v.wscdns.com/gc/lpsgmjng01_1/index.m3u8
西汉南越王博物馆,https://gcalic.v.myalicdn.com/gc/nywbwg01_1/index.m3u8
广东省深圳市甘坑客家小镇(回放),https://gctxyc.liveplay.myqcloud.com/gc/szgk01_1_md.m3u8
八里沟风景区天界山玻璃栈道(回放),https://gccncc.v.wscdns.com/gc/blg03_1/index.m3u8
八里沟风景区桃花湾瀑布,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8
汶川映秀新城,https://gccncc.v.wscdns.com/gc/wcyxxc01_1/index.m3u8
十八洞村,https://gctxyc.liveplay.myqcloud.com/gc/sbd01_1_md.m3u8
趵突泉,https://gcalic.v.myalicdn.com/gc/btq01_1/index.m3u8
安徽省池州市九华山风景区拜经台,https://gccncc.v.wscdns.com/gc/jhs02_1/index.m3u8
安徽省池州市九华山风景区,https://gctxyc.liveplay.myqcloud.com/gc/jhs05_1_md.m3u8
安徽省池州市九华山风景区花台,https://gccncc.v.wscdns.com/gc/jhs01_1/index.m3u8
华山(回放),https://gctxyc.liveplay.myqcloud.com/gc/hkhs01_1_md.m3u8
江苏徐州云龙湖风景区云龙山观景台南,https://gctxyc.liveplay.myqcloud.com/gc/ylh03_1_md.m3u8
江苏徐州云龙湖风景区云龙山观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
贵州省兴义市万峰林,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
贵州省兴义市马岭河峡谷,https://gcalic.v.myalicdn.com/gc/xymlh_1/index.m3u8
贵州省贞丰市双乳峰景区,https://gccncc.v.wscdns.com/gc/xysrf_1/index.m3u8
云南大理崇圣寺三塔中景,https://gctxyc.liveplay.myqcloud.com/gc/dlst03_1_md.m3u8
云南大理崇圣寺三塔湖面,https://gccncc.v.wscdns.com/gc/dlst02_1/index.m3u8
云南大理崇圣寺三塔远景,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8
浙江杭州千岛湖,https://gccncc.v.wscdns.com/gc/caqdh_1/index.m3u8
桂林漓江景区(回放),https://gctxyc.liveplay.myqcloud.com/gc/gllj01_1_md.m3u8
南京玄武湖公园,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8
玉龙雪山(回放),https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8
玉龙雪山蓝月谷,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
玉龙雪山印象实景(回放),https://gccncc.v.wscdns.com/gc/hkylxs01_1/index.m3u8
玉龙雪山玉液湖,https://gcalic.v.myalicdn.com/gc/hkylxs02_1/index.m3u8
白沙远眺玉龙雪山,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8
玉龙雪山の一滴水过丽江,https://gcalic.v.myalicdn.com/gc/hkylxs04_1/index.m3u8
玉龙雪山の冰川(回放),https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
玉龙雪山草甸,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
玉龙雪山白水台,https://gccncc.v.wscdns.com/gc/hkylxs07_1/index.m3u8
玉龙雪山蓝月谷中游湖面,https://gcalic.v.myalicdn.com/gc/hkylxs08_1/index.m3u8
玉龙雪山の高尔夫(回放),https://gcalic.v.myalicdn.com/gc/hkylxs09_1/index.m3u8
